business_name,address,mall_center,city,state,zip,mall
INSTAMATIC VENDING SERVICE,1301  JEFFERSON BL.,,WARWICK,RI,02886-2531,False
B & K ASSOCIATES,10  BOWLER RD.,,WARWICK,RI,02889-,False
J J's AMUSEMENT EMPORIUM,9  EAST AVE.,,WESTERLY,RI,02891-3107,True
ACE MUSIC,269  HIGH ST.,,WOONSOCKET,RI,02895-2913,False
DEL'S MUSIC,1050  CHARLES ST.,,NORTH PROVIDENCE,RI,02904,False
ATLAS MUSIC,1106  MAIN ST. N.,,PROVIDENCE,RI,02904-5709,False
BURTON VENDING SERVICE,33  MAPLE AVE.,,EAST PROVIDENCE,RI,02914-5499,False
HAPPY HOUSE AMUSEMENT,"59  DEPOT, P O BOX 120",,GOFFSTOWN,NH,03045-,False
QUALITY VENDING,187  WEBSTER,,HUDSON,NH,03051-,False
DREAM MACHINE,310  DANIEL WEBSTER HWY. S.,PHEASANT LANE MALL,NASHUA,NH,03060-,True
DOLD AMUSEMENT,4  LONE STAR DR.,,NASHUA,NH,03062-3411,False
K M VIDEO,102  PERIMETER RD.,,NASHUA,NH,03063,False
SUPERIOR AMUSEMENTS,12  KYLE DR.,,SALEM,NH,03079-,False
TRI-STATE VENDING,3  BEDFORD ST. S.,,MANCHESTER,NH,03101-,False
MANCHESTER MUSIC,62  LOWELL ST.,,MANCHESTER,NH,03101-1635,False
SPACE CENTER,968  ELM ST.,,MANCHESTER,NH,03101-2002,True
SPACE CENTER,440  2nd ST.,,MANCHESTER,NH,03102-,True
GRANITE STATE MUSIC,1364  CANDIA RD.,,MANCHESTER,NH,03103-1312,False
L & M AMUSEMENT & VENDING,154  MAMMOTH RD. S.,,MANCHESTER,NH,03103-2222,False
LAZAR MUSIC,93  DREW AVE.,,MANCHESTER,NH,03104-,False
VIDEO QUEST,P O BOX 311,c/o MOORE,EPSOM,NH,03234,False
FUNSPOT,P O BOX 5278,HWY. 3,WEIRS BEACH,NH,03246-,False
BELKNAP AMUSEMENT,615  MAIN,,LACONIA,NH,03246-,False
CLARK'S TRADING POST,,U.S. HWY. 3,NORTH WOODSTOCK,NH,03262-,False
CLEAN FUN ARCADE,,HWY. 3,NORTH WOODSTOCK,NH,03262-,True
STOP-N-PLAY,51  MAIN ST. # A,,PLYMOUTH,NH,03264-1410,False
TILTON 500,"P O BOX ""H""",HWY. 3,TILTON,NH,03276-,False
BEAR RIGHT FOOD FUN & SHOPPING,15  HALL ST.,,CONCORD,NH,03301,True
FARETRA MUSIC & VENDING,62  HALL ST.,,CONCORD,NH,03301-3414,False
PROFILE SALES,133  UNION ST.,,LITTLETON,NH,03561-1326,False
B A BERTRAND,346  MADISON AVE.,,BERLIN,NH,03570-,False
FRANK'S VENDING MACHINES,154  OAK ST.,,BERLIN,NH,03570-2025,False
FUN TOWNE,P O BOX 117,HWY. 3,TWIN MOUNTAIN,NH,03595-,False
BIRNEY'S FAMILY ARCADE,60  WASHINGTON,,CLAREMONT,NH,03743,True
ST CYR & FEENSTRA AMUSEMENT,43  MAPLE ST.,,NEWPORT,NH,03773-1931,False
MORE FUN,8  HWY. 12-A,WEST LEBANON SHOPPING PLAZA,WEST LEBANON,NH,03784-2009,True
DREAM MACHINE,,NEWINGTON MALL,NEWINGTON,NH,03801-2802,True
DREAM MACHINE,50  FOX RUN RD.,FOX RUN MALL,NEWINGTON,NH,03801-2811,True
MONTE CARLO AMUSEMENTS,,ESSEX RD.,CENTER CONWAY,NH,03813-,False
CENTER OSSIPEE GAMES,,MOULTONVILLE RD.,CENTER OSSIPPEE,NH,03814-,True
CLUB VIDEO,1  PLAZA DR.,,DOVER,NH,03820-2404,False
ELECTRO GAMES,P O BOX 578,GIGANTE DR.,EAST HAMPSTEAD,NH,03826-0578,False
FUNARAMA,P O BOX 685,OCEAN BL.,HAMPTON BEACH,NH,03842-,False
I PLAY GAMES,23  OCEAN BL.,,HAMPTON BEACH,NH,03842-,False
HAMPTON BEACH AMUSEMENT,211  OCEAN BL.,,HAMPTON BEACH,NH,03842-3111,False
FUN FACTORY,,MAIN ST.,NORTH CONWAY,NH,03860-,False
DREAM MACHINE,5  MILTON RD.,MOUNTAIN VALLEY MALL,NORTH CONWAY,NH,03860-8802,True
19th GREEN,,HWY. 16,OSSIPEE,NH,03864-,False
DREAM MACHINE,,LILAC MALL,ROCHESTER,NH,03867-,True
HILLTOP FUN CENTER,115  OAK ST.,,GONIC,NH,03867-,True
FUN-O-RAMA,13  BEACH,,YORK BEACH,ME,03910-,False
TIME MACHINE,1  PORTLAND,,FRYEBURG,ME,04037-,False
OLIVER VENDING & MUSIC SYSTEMS,"671  HWY. 1 W., P O BOX 2125",,SCARBOROUGH,ME,04074-,False
BAKER MUSIC,245  SPRING ST.,,PORTLAND,ME,04102-3712,False
RAOUL'S ROADSIDE ATTRACTION,865  FOREST AVE.,,PORTLAND,ME,04103-,False
DREAM MACHINE,,MAINE MALL,SOUTH PORTLAND,ME,04106-,True
SKILLFUL VENDING DISTRIBUTORS,114  PREBLE,,PORTLAND,ME,04106-2223,False
DREAM MACHINE,,AUBURN MALL,AUBURN,ME,04210-,True
ALADDIN'S CASTLE,40  EAST AVE.,LEWISTON MALL,LEWISTON,ME,04240-6615,True
BEAR POND PARK AMUSEMENT,,RD 2 BX 754,TURNER,ME,04282,True
PALACE,114  WESTERN AVE.,CAPITOL SHOPPING CENTER,AUGUSTA,ME,04330-7241,True
AUTOMATIC VENDING & GAMES,305  TARGET INDUSTRIAL CIR.,,BANGOR,ME,04401-,False
CANTEEN FOOD & VENDING SERVICE,"244  PERRY RD., P O BOX 1207",,BANGOR,ME,04401-1207,False
DREAM MACHINE,,AIRPORT MALL,BANGOR,ME,04401-3012,True
SPACE PORT,663  STILLWATER AVE.,BANGOR MALL,BANGOR,ME,04401-3609,True
A-COIN-O-MATIC MUSIC,20  PARK ST. N.,,BANGOR,ME,04401-3907,False
ARCHIE'S PLACE,58  FRANKLIN,,ELLSWORTH,ME,04605,True
